Date,Open,High,Low,Close,Volume
12/1/2020 16:00:00,17.11,17.4,15.76,15.8,12666027
12/2/2020 16:00:00,15.7,16.68,15.38,16.58,7883380
12/3/2020 16:00:00,16.48,16.64,15.87,16.12,6294965
12/4/2020 16:00:00,16.3,17.29,16.26,16.9,8972672
12/7/2020 16:00:00,17,17.5,16.22,16.35,7386258
12/8/2020 16:00:00,16.37,17.21,15.93,16.94,16120163
12/9/2020 16:00:00,13.92,14.73,13.23,13.66,24357944
12/10/2020 16:00:00,13.12,14.41,13.05,14.12,7558922
12/11/2020 16:00:00,13.91,14,13.02,13.31,7496868
12/14/2020 16:00:00,13.34,13.43,12.14,12.72,10007092
12/15/2020 16:00:00,12.78,14.02,12.48,13.85,8192856
12/16/2020 16:00:00,13.96,14.31,13.58,13.85,5865123
12/17/2020 16:00:00,13.96,14.98,13.59,14.83,8194902
12/18/2020 16:00:00,15.78,16.3,15.18,15.63,16618776
12/21/2020 16:00:00,15.81,16.35,15.28,15.53,9876128
12/22/2020 16:00:00,16.22,20.04,16.15,19.46,30687718
12/23/2020 16:00:00,20.17,22.35,19.13,20.57,25830256
12/24/2020 13:00:00,21.01,21.48,19.95,20.15,6262174
12/28/2020 16:00:00,21.31,21.97,20.35,20.99,8965858
12/29/2020 16:00:00,20.82,21.07,18.56,19.38,9241441
12/30/2020 16:00:00,19.38,20,18.85,19.26,5934391
12/31/2020 16:00:00,19.25,19.8,18.8,18.84,6922652
1/4/2021 16:00:00,19,19.1,17.15,17.25,10022474
1/5/2021 16:00:00,17.35,18.08,17.23,17.37,4961457
1/6/2021 16:00:00,17.34,18.98,17.33,18.36,6056248
1/7/2021 16:00:00,18.47,19.45,18.02,18.08,6129276
1/8/2021 16:00:00,18.18,18.3,17.08,17.69,6481960
1/11/2021 16:00:00,19.41,20.65,19.01,19.94,14927612
1/12/2021 16:00:00,19.96,20.4,19.32,19.95,7060665
1/13/2021 16:00:00,20.42,38.65,20.03,31.4,144501736
1/14/2021 16:00:00,38.09,43.06,33.05,39.91,93717410
1/15/2021 16:00:00,38.49,40.75,34.01,35.5,46866358
1/19/2021 16:00:00,41.55,45.52,36.64,39.36,74721924
1/20/2021 16:00:00,37.37,41.19,36.06,39.12,33471789
1/21/2021 16:00:00,39.23,44.75,37,43.03,57079754
1/22/2021 16:00:00,42.59,76.76,42.32,65.01,197157946
1/25/2021 16:00:00,96.73,159.18,61.13,76.79,177874000
1/26/2021 16:00:00,88.56,150,80.2,147.98,178587974
1/27/2021 16:00:00,354.83,380,249,347.51,93396666
1/28/2021 16:00:00,265,483,112.25,193.6,58815805
1/29/2021 16:00:00,379.71,413.98,250,325,50566055
2/1/2021 16:00:00,316.56,322,212,225,37382152
2/2/2021 16:00:00,140.76,158,74.22,90,78183071
2/3/2021 16:00:00,112.01,113.4,85.25,92.41,42698511
2/4/2021 16:00:00,91.19,91.5,53.33,53.5,62427275
2/5/2021 16:00:00,54.04,95,51.09,63.77,81345013
2/8/2021 16:00:00,72.41,72.66,58.02,60,25687282
2/9/2021 16:00:00,56.61,57,46.52,50.31,26843082
2/10/2021 16:00:00,50.77,62.83,46.55,51.2,36455036
2/11/2021 16:00:00,50.01,55.32,48.22,51.1,13056725
2/12/2021 16:00:00,50.75,55.24,48.05,52.4,14573264
2/16/2021 16:00:00,52.66,53.5,49.04,49.51,8175030
2/17/2021 16:00:00,49.77,51.19,44.56,45.94,9260795
2/18/2021 16:00:00,48.49,48.87,40.65,40.69,23990555
2/19/2021 16:00:00,41.28,43.89,38.5,40.59,14828238
2/22/2021 16:00:00,46.69,48.51,42.4,46,19476021
2/23/2021 16:00:00,44.97,46.23,40,44.97,7565215
2/24/2021 16:00:00,44.7,91.71,44.7,91.71,83111740
2/25/2021 16:00:00,169.56,184.68,101,108.73,150308766
2/26/2021 16:00:00,117.46,142.9,86,101.74,92194154
3/1/2021 16:00:00,104.54,133.99,99.97,120.4,49793965
3/2/2021 16:00:00,116.93,133.2,112.2,118.18,33783044
3/3/2021 16:00:00,122.51,127.75,113.12,124.18,19273882
3/4/2021 16:00:00,125,147.87,115.3,132.35,32606893
3/5/2021 16:00:00,128.17,151.53,127.5,137.74,30733673
3/8/2021 16:00:00,154.89,210.87,146.1,194.5,63565620
3/9/2021 16:00:00,217.71,249.85,208.51,246.9,39099331
3/10/2021 16:00:00,269.43,348.5,172,265,71570566
